GENE	NRC-1f_vs_NRC-1g.sig
VNG0001H	0.034
VNG0002G	-0.0070
VNG0003C	0.042
VNG0005H	0.015
VNG0006G	0.018
VNG0008G	0.043
VNG0009G	0.057
VNG0011C	0.026
VNG0013C	0.105
VNG0014C	0.0080
VNG0015H	0.0080
VNG0016H	0.014
VNG0017H	-0.024
VNG0018H	0.0020
VNG0019H	0.097
VNG0020H	0.043
VNG0021H	-0.147
VNG0022H	0.028
VNG0023H	0.078
VNG0024H	0.023
VNG0025H	-0.046
VNG0026C	-0.038
VNG0027H	-0.0010
VNG0028C	0.0070
VNG0029H	-0.018
VNG0030H	0.099
VNG0031H	0.018
VNG0032H	0.037
VNG0033H	0.037
VNG0034H	0.033
VNG0035C	0.014
VNG0037H	0.072
VNG0038H	0.041
VNG0039H	-0.0010
VNG0040C	0.065
VNG0041C	0.032
VNG0042G	-0.063
VNG0043H	-0.023
VNG0045C	-0.023
VNG0046G	-0.039
VNG0047G	0.011
VNG0049H	-0.124
VNG0050C	-0.023
VNG0051G	-0.019
VNG0053H	0.061
VNG0054H	0.07
VNG0055H	0.026
VNG0057H	0.077
VNG0058H	-0.021
VNG0060G	0.0
VNG0061C	0.032
VNG0062G	-0.041
VNG0063G	-0.048
VNG0064G	0.038
VNG0065G	0.0010
VNG0066H	-0.022
VNG0067H	0.073
VNG0068H	0.013
VNG0069H	0.027
VNG0070H	-0.014
VNG0072H	0.038
VNG0073C	0.0080
VNG0075H	-0.035
VNG0076H	-0.023
VNG0077H	-0.0050
VNG0079H	0.034
VNG0080H	-0.015
VNG0081G	0.027
VNG0084G	-0.049
VNG0085G	0.082
VNG0086G	0.038
VNG0089G	0.0080
VNG0090G	-0.022
VNG0091C	-0.065
VNG0094C	-0.02
VNG0095G	0.079
VNG0096C	0.076
VNG0097G	0.025
VNG0098G	-0.07
VNG0099G	-0.023
VNG0101G	-0.0030
VNG0102C	-0.035
VNG0104G	0.013
VNG0105H	0.012
VNG0106G	-0.0050
VNG0107G	-0.019
VNG0108G	-0.011
VNG0110C	0.046
VNG0112H	-0.173
VNG0113H	0.024
VNG0115G	-0.015
VNG0116H	0.037
VNG0117H	-0.0060
VNG0118H	0.031
VNG0119H	-0.1
VNG0120H	-0.0070
VNG0121H	-0.0090
VNG0123G	-0.084
VNG0124C	-0.077
VNG0125H	0.013
VNG0127C	-0.049
VNG0128C	0.024
VNG0129G	0.054
VNG0130H	0.025
VNG0132C	-0.033
VNG0133G	-0.019
VNG0134G	-0.026
VNG0136G	0.0090
VNG0137G	-0.108
VNG0138H	0.0020
VNG0139H	-0.0
VNG0140H	-0.014
VNG0141H	0.0070
VNG0142C	0.024
VNG0143H	0.031
VNG0144H	0.06
VNG0146H	0.179
VNG0147C	-0.128
VNG0148H	0.049
VNG0149G	-0.079
VNG0150H	0.028
VNG0151C	0.0050
VNG0152G	0.0040
VNG0153C	0.069
VNG0154G	0.059
VNG0156C	0.036
VNG0157G	-0.043
VNG0158G	0.015
VNG0159G	-0.0010
VNG0160G	0.071
VNG0161G	0.031
VNG0162G	0.0090
VNG0163G	-0.043
VNG0164G	-0.011
VNG0166G	0.0090
VNG0167H	0.032
VNG0168H	-0.12
VNG0170C	0.044
VNG0171C	0.08
VNG0172G	-0.026
VNG0174G	-0.083
VNG0175G	-0.02
VNG0176H	-0.096
VNG0177G	-0.145
VNG0178H	0.056
VNG0179C	-0.053
VNG0180G	-0.027
VNG0181G	0.048
VNG0183G	0.044
VNG0184H	-0.052
VNG0186G	0.0070
VNG0187H	-0.026
VNG0188H	0.039
VNG0189C	-0.015
VNG0190C	0.0040
VNG0192G	0.09
VNG0194H	0.147
VNG0195H	0.033
VNG0196H	-0.045
VNG0197C	-0.029
VNG0198H	0.017
VNG0199H	0.0040
VNG0200C	0.066
VNG0203C	-0.025
VNG0204H	0.05
VNG0205H	0.0080
VNG0207H	0.011
VNG0208H	0.019
VNG0209H	0.055
VNG0212H	-0.031
VNG0213H	-0.088
VNG0214C	-0.023
VNG0215C	0.028
VNG0216H	0.142
VNG0217H	-0.021
VNG0218G	0.051
VNG0219H	0.15
VNG0220H	0.076
VNG0222C	0.126
VNG0223G	0.031
VNG0226G	-0.109
VNG0227H	0.013
VNG0228G	0.017
VNG0230C	0.013
VNG0231C	0.083
VNG0233H	-0.064
VNG0234C	-0.073
VNG0237H	-0.073
VNG0238H	0.045
VNG0239C	-0.066
VNG0240C	-0.073
VNG0243C	-0.041
VNG0244H	0.023
VNG0245G	-0.075
VNG0247C	0.024
VNG0248C	0.309
VNG0249G	0.443
VNG0250C	0.0050
VNG0251C	-0.043
VNG0252C	0.011
VNG0254G	0.196
VNG0255C	0.048
VNG0256H	0.01
VNG0258H	-0.0
VNG0259G	-0.03
VNG0261H	-0.053
VNG0262C	-0.046
VNG0264H	-0.0010
VNG0265G	-0.059
VNG0266H	0.035
VNG0267H	0.034
VNG0268C	-0.0090
VNG0270C	0.016
VNG0271C	0.049
VNG0272H	-0.0010
VNG0274C	-0.04
VNG0277G	-0.041
VNG0280H	-0.049
VNG0281G	0.138
VNG0282H	0.065
VNG0283C	-0.038
VNG0284C	-0.017
VNG0285C	-0.086
VNG0286C	-0.049
VNG0287H	-0.16
VNG0289H	-0.01
VNG0291H	-0.031
VNG0293H	0.025
VNG0294G	-0.049
VNG0296H	-0.042
VNG0297H	-0.024
VNG0298H	-0.01
VNG0300C	-0.04
VNG0301C	-0.0010
VNG0303G	0.087
VNG0305G	0.01
VNG0306C	-0.01
VNG0307G	0.011
VNG0308G	-0.0070
VNG0309C	0.0060
VNG0310C	0.034
VNG0311H	-0.036
VNG0312H	-0.0020
VNG0314G	-0.058
VNG0315G	-0.122
VNG0316C	0.038
VNG0318G	-0.021
VNG0319H	0.027
VNG0320H	-0.099
VNG0321G	0.041
VNG0322H	-0.025
VNG0323H	-0.021
VNG0324G	0.0040
VNG0326G	-0.024
VNG0327G	-0.019
VNG0329G	0.065
VNG0330G	0.104
VNG0331H	0.045
VNG0332C	0.056
VNG0335G	0.011
VNG0339H	-0.06
VNG0340C	0.104
VNG0342G	0.018
VNG0343H	0.055
VNG0345G	-0.017
VNG0346H	-0.032
VNG0347H	0.043
VNG0349G	0.029
VNG0351C	0.011
VNG0352H	0.042
VNG0354C	0.013
VNG0355G	-0.04
VNG0357H	0.0030
VNG0359C	0.021
VNG0360C	0.0050
VNG0361C	0.024
VNG0363G	0.04
VNG0364G	-0.013
VNG0365G	-0.012
VNG0367H	0.032
VNG0368C	-0.013
VNG0370H	-0.0090
VNG0371G	0.061
VNG0373H	-0.018
VNG0374G	-0.056
VNG0375G	-0.047
VNG0376G	-0.0070
VNG0378C	-0.144
VNG0380G	-0.053
VNG0382G	0.046
VNG0383H	0.031
VNG0384G	0.059
VNG0386G	0.041
VNG0387G	0.061
VNG0388C	0.018
VNG0389C	-0.0040
VNG0390G	-0.017
VNG0391C	-0.03
VNG0393C	-0.028
VNG0394C	-0.06
VNG0396C	-0.045
VNG0398G	-0.0010
VNG0399H	-0.078
VNG0401G	-0.125
VNG0402H	0.161
VNG0403G	-0.033
VNG0404H	-0.087
VNG0405C	-0.053
VNG0406C	0.0
VNG0407H	-0.018
VNG0408H	0.071
VNG0409C	0.146
VNG0410G	-0.088
VNG0412G	0.029
