Gene	Gene_Name	Molecule	Start	End	strand	probe_start	probe_end	1451_growth_t1_avg	1451_growth_t2_avg	1451_growth_t3_avg	1451_growth_t4_avg	ura3_growth_t1_avg	ura3_growth_t2_avg	ura3_growth_t3_avg	ura3_growth_t4_avg
VNG0001H		chr	248	1450	+	717	648	-0.11	0.025333333	0.018	-0.0165	-0.0535	-0.049333333	-0.026333333	-0.026
VNG0002G	yvrO	chr	1450	2112	+	1798	1729	-0.212	-0.005666667	-0.006	-0.0805	-0.177	-0.100333333	-0.034333333	-0.0895
VNG0003C		chr	2145	3251	+	3052	2983	-0.176333333	0.039666667	0.032	0.0895	-0.08	-0.036	0.041666667	0.021
VNG0005H		chr	3322	5640	+	5207	5138	0.107	0.043666667	-0.02	-0.1235	-0.0255	0.023	0.028333333	-0.1135
VNG0006G	glmS	chr	7451	5649	-	5671	5740	-0.097	-0.003333333	-0.019	-0.096	-0.0275	-0.032	0.022666667	-0.0555
VNG0008G	graD5	chr	8641	7457	-	7688	7757	-0.139333333	-0.032333333	-0.019333333	-0.0785	-0.1115	-0.039	-0.004	-0.0565
VNG0009G	graD2	chr	9860	8658	-	8939	9008	-0.054666667	0.077333333	0.034666667	-0.002	0.02	0.012666667	0.063333333	-0.003
VNG0011C		chr	9980	11410	+	11276	11207	0.115666667	-0.023	-0.052	-0.076	-0.012	0.051666667	0.030666667	-0.049
VNG0013C		chr	12614	11481	-	12497	12566	-0.156	-0.014333333	0.036333333	-0.056	-0.222	-0.121333333	-0.120333333	-0.2365
VNG0014C		chr	12978	13184	+	13157	13088	0.161666667	0.134	0.116	0.4155	0.1985	0.199	0.315	0.279
VNG0015H		chr	13644	13465	-	13529	13598	0.237	-0.122333333	0.103666667	0.327	0.1665	0.115666667	0.153333333	0.2595
VNG0016H		chr	14180	13812	-	13863	13932	0.004666667	0.061333333	0.023	0.157	0.098	0.078666667	0.127333333	0.1585
VNG0017H		chr	14484	14777	+	14703	14634	0.338666667	-0.217333333	0.199333333	0.467	0.211	0.205	0.114	0.3435
VNG0018H		chr	14868	15128	+	15128	15059	0.116666667	0.147333333	0.125333333	0.329	0.275	0.202	0.26	0.2455
VNG0019H		chr	15310	15405	+	15405	15336	0.083333333	0.055666667	0.020333333	0.0225	0.097	0.062	0.004666667	0.21
VNG0020H		chr	16051	15422	-	15848	15917	0.039666667	0.183333333	0.066	0.471	0.1885	0.256333333	0.382333333	0.356
VNG0021H		chr	16342	17703	+	17689	17620	0.032333333	0.059666667	0.024333333	0.12	0.012	0.032	0.134666667	0.1585
VNG0022H		chr	18357	18899	+	18502	18433	0.21	0.124	0.184	0.525	0.2755	0.229333333	0.404666667	0.348
VNG0023H		chr	18895	19527	+	19121	19052	0.177	-0.056	0.203666667	0.4535	0.196	0.144666667	0.361	0.367
VNG0024H		chr	20023	19706	-	19799	19868	0.236333333	0.134666667	0.163333333	0.4595	0.2885	0.266666667	0.438	0.325
VNG0025H		chr	20482	20222	-	20315	20384	0.078333333	0.148	0.104666667	0.3075	0.1015	0.087333333	0.212666667	0.3095
VNG0026C		chr	21456	20536	-	20800	20869	-0.024666667	0.042333333	0.024	0.0435	-0.008	-0.005333333	0.079333333	-0.0055
VNG0027H		chr	22750	22106	-	22592	22661	0.169333333	-0.013	0.191333333	0.5015	0.324	0.175333333	0.336	0.324
VNG0028C		chr	23336	23887	+	23540	23471	0.216	0.274	0.180666667	0.337	0.366	0.188666667	0.138666667	0.1145
VNG0029H		chr	24564	24112	-	24235	24304	0.430333333	0.304333333	0.307666667	0.537	0.3115	0.137666667	0.346666667	0.362
VNG0030H		chr	26201	26593	+	26388	26319	0.244666667	0.132333333	0.127666667	0.406	0.213	0.134333333	0.281	0.2645
VNG0031H		chr	26648	29005	+	28854	28785	0.155666667	0.139666667	0.120333333	0.289	0.152	0.132	0.261333333	0.2035
VNG0032H		chr	29046	29426	+	29424	29355	0.318333333	0.146	0.082666667	0.2855	0.204	0.171333333	0.276333333	0.1875
VNG0033H		chr	29913	29479	-	29605	29674	0.510333333	0.156333333	0.174333333	0.475	0.285	0.15	0.285666667	0.311
VNG0034H		chr	30014	29916	-	29934	30003	0.256666667	0.143	0.202666667	0.468	0.2885	0.256	0.346	0.3165
VNG0035C		chr	31168	30359	-	30884	30953	0.141666667	0.170333333	0.062666667	0.2155	0.129	0.061	0.102	0.1835
VNG0037H		chr	31838	32083	+	32081	32012	-0.073333333	0.067333333	0.031333333	0.0735	-0.1545	-0.105333333	-0.040666667	0.1305
VNG0038H		chr	32101	32352	+	32333	32264	0.015666667	-0.096666667	-0.023	0.0705	-0.069	-0.092333333	-0.049666667	0.1645
VNG0039H		chr	32890	32558	-	32722	32791	-0.026	0.038666667	0.001	0.054	0.0335	-0.012666667	0.042333333	0.113
VNG0040C		chr	33628	33185	-	33426	33495	-0.105	-0.055	-0.049	-0.043	-0.1585	-0.069666667	-0.059666667	-0.104
VNG0041C		chr	33915	33613	-	33686	33755	-0.115	0.009333333	-0.047	-0.057	-0.1115	-0.031	-0.027	-0.117
VNG0042G	ntp	chr	35931	34654	-	35772	35841	0.080333333	-0.123333333	-0.006666667	-0.0335	0.0325	0.029666667	-0.105666667	-0.117
VNG0043H		chr	36321	36710	+	36652	36583	-0.156	-0.029	-0.081666667	-0.178	-0.171	-0.079333333	-0.118333333	-0.2305
VNG0045C		chr	38017	39429	+	38578	38509	0.148333333	-0.113	0.040666667	0.1795	0.0765	0.088666667	0.107333333	0.198
VNG0046G	ugd	chr	40903	39614	-	40702	40771	-0.045333333	0.039	-0.002333333	-0.032	-0.0425	0.038	0.029	-0.0485
VNG0047G	graD6	chr	41063	41716	+	41647	41578	-0.079333333	0.002	-0.075666667	-0.1315	-0.051	0.011	-0.068333333	-0.081
VNG0049H		chr	41880	42656	+	42040	41971	0.000333333	-0.027666667	-0.242333333	-0.355	0.121	0.239666667	0.069333333	-0.415
VNG0050C		chr	42707	44146	+	43441	43372	0.110333333	-0.127	0.003	0.0655	0.063	0.119666667	0.219666667	0.123
VNG0051G	rfbU1	chr	45456	44248	-	44848	44917	-0.076	-0.018333333	-0.114666667	-0.2555	-0.05	0.036	0.017333333	-0.175
VNG0053H		chr	48767	49219	+	49194	49125	0.156333333	0.183333333	0.032666667	0.179	0.0945	0.008666667	-0.083666667	-0.01
VNG0054H		chr	49972	49355	-	49705	49774	0.141333333	0.197	0.215	0.4965	0.281	0.275	0.449	0.4165
VNG0055H		chr	49985	50248	+	50211	50142	0.25	0.02	0.252333333	0.5685	0.2855	0.212	0.416333333	0.3445
VNG0057H		chr	53192	54364	+	54033	53964	0.165	0.163	0.108333333	0.3735	0.2185	0.182333333	0.326333333	0.2365
VNG0058H		chr	55745	54699	-	54708	54777	-0.128	-0.218333333	-0.295	-0.238	-0.271	-0.277666667	-0.223	-0.2
VNG0060G	lpg	chr	58661	57663	-	58488	58557	0.218666667	0.097	0.037333333	-0.0015	0.0985	0.071666667	0.096666667	-0.058
VNG0061C		chr	58827	60179	+	59028	58959	0.09	0.011	0.014666667	0.0125	0.0775	0.093333333	0.091	0.005
VNG0062G	lpb	chr	61625	60612	-	60778	60847	0.205	0.104333333	0.035666667	0.1895	0.149	0.080333333	0.047666667	-0.0575
VNG0063G	galE2	chr	62686	61703	-	62098	62167	0.103666667	0.039	-0.041666667	-0.0825	0.0445	0.046	0.043666667	-0.017
VNG0064G	graD3	chr	62927	63640	+	63515	63446	0.404333333	0.112	0.205333333	0.422	0.248	0.190333333	0.292333333	0.3235
VNG0065G	gmd	chr	63881	64807	+	64454	64385	0.016333333	0.020666667	-0.081666667	-0.0885	-0.047	-0.000333333	0.052666667	0.0425
VNG0066H		chr	64976	65203	+	65118	65049	0.065666667	0.068666667	0.071	0.106	-0.0175	-0.012666667	0.014	0.16
VNG0067H		chr	65203	65469	+	65446	65377	0.171	-0.054	0.133	0.2	0.071	0.004	0.077666667	0.211
